paper_id,title,authors,venue,year,primary_category,topics,pdf_filename,pdf_path,abs_url,pdf_url
2203.15556,Training Compute-Optimal Large Language Models,Jordan Hoffmann; Sebastian Borgeaud; Arthur Mensch; Elena Buchatskaya; Trevor Cai; Eliza Rutherford; Diego de Las Casas; Lisa Anne Hendricks; Johannes Welbl; Aidan Clark; Tom Hennigan; Eric Noland; Katie Millican; George van den Driessche; Bogdan Damoc; Aurelia Guy; Simon Osindero; Karen Simonyan; Erich Elsen; Jack W. Rae; Oriol Vinyals; Laurent Sifre,,2022,cs.CL,"cs.CL, cs.LG",2203.15556.pdf,data/papers/2203.15556.pdf,https://arxiv.org/abs/2203.15556,https://arxiv.org/pdf/2203.15556
2204.02311,PaLM: Scaling Language Modeling with Pathways,Aakanksha Chowdhery; Sharan Narang; Jacob Devlin; Maarten Bosma; Gaurav Mishra; Adam Roberts; Paul Barham; Hyung Won Chung; Charles Sutton; Sebastian Gehrmann; Parker Schuh; Kensen Shi; Sasha Tsvyashchenko; Joshua Maynez; Abhishek Rao; Parker Barnes; Yi Tay; Noam Shazeer; Vinodkumar Prabhakaran; Emily Reif; Nan Du; Ben Hutchinson; Reiner Pope; James Bradbury; Jacob Austin; Michael Isard; Guy Gur-Ari; Pengcheng Yin; Toju Duke; Anselm Levskaya; Sanjay Ghemawat; Sunipa Dev; Henryk Michalewski; Xavier Garcia; Vedant Misra; Kevin Robinson; Liam Fedus; Denny Zhou; Daphne Ippolito; David Luan; Hyeontaek Lim; Barret Zoph; Alexander Spiridonov; Ryan Sepassi; David Dohan; Shivani Agrawal; Mark Omernick; Andrew M. Dai; Thanumalayan Sankaranarayana Pillai; Marie Pellat; Aitor Lewkowycz; Erica Moreira; Rewon Child; Oleksandr Polozov; Katherine Lee; Zongwei Zhou; Xuezhi Wang; Brennan Saeta; Mark Diaz; Orhan Firat; Michele Catasta; Jason Wei; Kathy Meier-Hellstern; Douglas Eck; Jeff Dean; Slav Petrov; Noah Fiedel,,2022,cs.CL,cs.CL,2204.02311.pdf,data/papers/2204.02311.pdf,https://arxiv.org/abs/2204.02311,https://arxiv.org/pdf/2204.02311
2204.07705,Super-NaturalInstructions: Generalization via Declarative Instructions on 1600+ NLP Tasks,Yizhong Wang; Swaroop Mishra; Pegah Alipoormolabashi; Yeganeh Kordi; Amirreza Mirzaei; Anjana Arunkumar; Arjun Ashok; Arut Selvan Dhanasekaran; Atharva Naik; David Stap; Eshaan Pathak; Giannis Karamanolakis; Haizhi Gary Lai; Ishan Purohit; Ishani Mondal; Jacob Anderson; Kirby Kuznia; Krima Doshi; Maitreya Patel; Kuntal Kumar Pal; Mehrad Moradshahi; Mihir Parmar; Mirali Purohit; Neeraj Varshney; Phani Rohitha Kaza; Pulkit Verma; Ravsehaj Singh Puri; Rushang Karia; Shailaja Keyur Sampat; Savan Doshi; Siddhartha Mishra; Sujan Reddy; Sumanta Patro; Tanay Dixit; Xudong Shen; Chitta Baral; Yejin Choi; Noah A. Smith; Hannaneh Hajishirzi; Daniel Khashabi,,2022,cs.CL,"cs.CL, cs.AI",2204.07705.pdf,data/papers/2204.07705.pdf,https://arxiv.org/abs/2204.07705,https://arxiv.org/pdf/2204.07705
2204.10019,Standing on the Shoulders of Giant Frozen Language Models,Yoav Levine; Itay Dalmedigos; Ori Ram; Yoel Zeldes; Daniel Jannai; Dor Muhlgay; Yoni Osin; Opher Lieber; Barak Lenz; Shai Shalev-Shwartz; Amnon Shashua; Kevin Leyton-Brown; Yoav Shoham,,2022,cs.CL,"cs.CL, cs.AI",2204.10019.pdf,data/papers/2204.10019.pdf,https://arxiv.org/abs/2204.10019,https://arxiv.org/pdf/2204.10019
2205.01068,OPT: Open Pre-trained Transformer Language Models,Susan Zhang; Stephen Roller; Naman Goyal; Mikel Artetxe; Moya Chen; Shuohui Chen; Christopher Dewan; Mona Diab; Xian Li; Xi Victoria Lin; Todor Mihaylov; Myle Ott; Sam Shleifer; Kurt Shuster; Daniel Simig; Punit Singh Koura; Anjali Sridhar; Tianlu Wang; Luke Zettlemoyer,,2022,cs.CL,"cs.CL, cs.LG",2205.01068.pdf,data/papers/2205.01068.pdf,https://arxiv.org/abs/2205.01068,https://arxiv.org/pdf/2205.01068
2205.12644,LingMess: Linguistically Informed Multi Expert Scorers for Coreference Resolution,Shon Otmazgin; Arie Cattan; Yoav Goldberg,,2022,cs.CL,cs.CL,2205.12644.pdf,data/papers/2205.12644.pdf,https://arxiv.org/abs/2205.12644,https://arxiv.org/pdf/2205.12644
2205.14180,Effect of matrix sparsity and quantum noise on quantum random walk linear solvers,Benjamin Wu; Hrushikesh Patil; Predrag Krstic,,2022,quant-ph,quant-ph,2205.14180.pdf,data/papers/2205.14180.pdf,https://arxiv.org/abs/2205.14180,https://arxiv.org/pdf/2205.14180
2206.07682,Emergent Abilities of Large Language Models,Jason Wei; Yi Tay; Rishi Bommasani; Colin Raffel; Barret Zoph; Sebastian Borgeaud; Dani Yogatama; Maarten Bosma; Denny Zhou; Donald Metzler; Ed H. Chi; Tatsunori Hashimoto; Oriol Vinyals; Percy Liang; Jeff Dean; William Fedus,,2022,cs.CL,cs.CL,2206.07682.pdf,data/papers/2206.07682.pdf,https://arxiv.org/abs/2206.07682,https://arxiv.org/pdf/2206.07682
2206.10503,On a certified VMS-Smagorinsky Reduced Basis model with LPS pressure stabilisation,Tomás Chacón Rebollo; Enrique Delgado Ávila; Macarena Gómez Mármol,,2022,math.NA,math.NA,2206.10503.pdf,data/papers/2206.10503.pdf,https://arxiv.org/abs/2206.10503,https://arxiv.org/pdf/2206.10503
2206.13673,How Many Events do You Need? Event-based Visual Place Recognition Using Sparse But Varying Pixels,Tobias Fischer; Michael Milford,IEEE Robotics and Automation Letters 2022,2022,cs.CV,"cs.CV, cs.AI, cs.RO",2206.13673.pdf,data/papers/2206.13673.pdf,https://arxiv.org/abs/2206.13673,https://arxiv.org/pdf/2206.13673
2207.05221,Language Models (Mostly) Know What They Know,Saurav Kadavath; Tom Conerly; Amanda Askell; Tom Henighan; Dawn Drain; Ethan Perez; Nicholas Schiefer; Zac Hatfield-Dodds; Nova DasSarma; Eli Tran-Johnson; Scott Johnston; Sheer El-Showk; Andy Jones; Nelson Elhage; Tristan Hume; Anna Chen; Yuntao Bai; Sam Bowman; Stanislav Fort; Deep Ganguli; Danny Hernandez; Josh Jacobson; Jackson Kernion; Shauna Kravec; Liane Lovitt; Kamal Ndousse; Catherine Olsson; Sam Ringer; Dario Amodei; Tom Brown; Jack Clark; Nicholas Joseph; Ben Mann; Sam McCandlish; Chris Olah; Jared Kaplan,,2022,cs.CL,"cs.CL, cs.AI, cs.LG",2207.05221.pdf,data/papers/2207.05221.pdf,https://arxiv.org/abs/2207.05221,https://arxiv.org/pdf/2207.05221
2207.10813,Three Dimensional Imaging using Coherent X-Rays at Grazing Incidence Geometry,Yi Yang; Sunil K. Sinha,"J. Opt. Soc. Am. A 40, 1500-1506 (2023)",2022,physics.ins-det,"physics.ins-det, physics.optics",2207.10813.pdf,data/papers/2207.10813.pdf,https://arxiv.org/abs/2207.10813,https://arxiv.org/pdf/2207.10813
2207.14303,"Lyman-Alpha Escape from Low-Mass, Compact, High-Redshift Galaxies",Ragadeepika Pucha; Naveen A. Reddy; Arjun Dey; Stéphanie Juneau; Kyoung-Soo Lee; Moire K. M. Prescott; Irene Shivaei; Sungryong Hong,,2022,astro-ph.GA,astro-ph.GA,2207.14303.pdf,data/papers/2207.14303.pdf,https://arxiv.org/abs/2207.14303,https://arxiv.org/pdf/2207.14303
2208.03299,Atlas: Few-shot Learning with Retrieval Augmented Language Models,Gautier Izacard; Patrick Lewis; Maria Lomeli; Lucas Hosseini; Fabio Petroni; Timo Schick; Jane Dwivedi-Yu; Armand Joulin; Sebastian Riedel; Edouard Grave,,2022,cs.CL,cs.CL,2208.03299.pdf,data/papers/2208.03299.pdf,https://arxiv.org/abs/2208.03299,https://arxiv.org/pdf/2208.03299
2208.09257,Ultron: An Ultimate Retriever on Corpus with a Model-based Indexer,Yujia Zhou; Jing Yao; Zhicheng Dou; Ledell Wu; Peitian Zhang; Ji-Rong Wen,,2022,cs.IR,cs.IR,2208.09257.pdf,data/papers/2208.09257.pdf,https://arxiv.org/abs/2208.09257,https://arxiv.org/pdf/2208.09257
